,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude,Flexibility,Body Composition,Composition Percentage,Interactiveness,Workout Frequency,Workout Mode Preferred,is_sports_enthusiast,like_to_be_mentored,like_to_mentor,fitness_goal_to_be achieved,addons in session,Height_in_cms,Age
0,Amoli Veer,Female,1982-03-31,Nana Peth S.O,411002,18.51009,73.85672,4,Essential Fat,14,4,Only Weekends,Outdoor,No,3,3,All,Meditation,166,39
1,Kaia Subramanian,Female,1994-06-09,Mundhva AV S.O,411036,18.53135,73.91478000000002,5,Fitness,22,5,Alternate Days,Outdoor,Maybe,1,3,Improve endurance/conditioning,Meditation,163,26
2,Rushil Vish,Male,1999-02-07,Yerwada S.O,411006,18.56318,73.87742,3,Acceptable,23,3,Monday To Friday,Both,Yes,4,5,Improve athletic skills,Meditation,171,22
3,Atiksh Manohar,Male,1987-07-01,Dapodi S.O,411012,18.57749,73.83138000000002,5,Athletes,6,3,Alternate Days,Both,Maybe,3,4,Lose fat,Meditation,173,33
4,Ved Kapoor,Male,1988-01-28,Hadapsar S.O,411028,18.50453,73.91255,5,Essential Fat,6,3,3 days of week,Indoor,No,1,1,Build muscle,None,161,33
5,Vihaan Chauhan,Male,1998-08-28,Rashtra Bhasha Bhavan S.O,411030,18.50942,73.84063,2,Obese,95,4,Only Weekends,Indoor,No,5,4,Improve endurance/conditioning,Meditation,160,22
6,Tanvi Sandeep,Female,2000-11-13,Pune New Bazar S.O,411001,18.53446,73.88304000000002,3,Fitness,22,1,3 days of week,Outdoor,Maybe,2,1,Improve endurance/conditioning,Yoga,177,20
7,Taara Chauhan,Female,1999-05-31,Salisbury Park S.O,411037,18.48591,73.86715,3,Athletes,21,1,Any Day of Week,Indoor,No,1,4,Improve endurance/conditioning,None,167,21
8,Anaisha Veena,Female,1988-12-31,Srpf S.O,411022,18.50193,73.91264,3,Fitness,22,2,Alternate Days,Indoor,Yes,2,2,Lose fat,Yoga,162,32
9,Rebecca Chander,Female,1995-08-12,Ammunition Factory Khadki S.O,411003,18.57295,73.86363,5,Athletes,21,1,Alternate Days,Indoor,Maybe,5,4,Mesomorph,Yoga,165,25
10,Nirav Verma,Male,1993-10-29,Pune Cantt East S.O,411001,18.5364,73.89394,4,Athletes,6,3,Daily,Indoor,Yes,1,5,All,Both,172,27
11,Gian Mati,Male,2003-10-11,T.V. Nagar S.O,411037,18.46135,73.86633,3,Essential Fat,6,3,Only Weekends,Indoor,Yes,4,1,All,Meditation,168,17
12,Raunak Chaudhary,Male,1997-08-30,Pune R.S. S.O,411001,18.5114,73.87722,5,Fitness,14,3,Any Day of Week,Outdoor,Yes,3,3,Improve athletic skills,Meditation,168,23
13,Ishita Sen,Female,1995-05-27,Swargate Chowk S.O,411042,18.506970000000006,73.87119,2,Fitness,22,2,Alternate Days,Outdoor,Maybe,1,5,Mesomorph,Yoga,168,25
14,Vihaan Mehra,Male,1990-02-13,Airport S.O (Pune),411032,18.57956,73.88954,4,Obese,95,3,Alternate Days,Indoor,No,5,1,All,Meditation,174,31
15,Rishaan Krishnamurthy,Male,1997-03-28,Shivaji Housing Society S.O,411016,18.52501,73.82303,2,Obese,95,1,Any Day of Week,Outdoor,Yes,1,1,Improve athletic skills,None,172,24
16,Jash Darsha,Male,1996-09-15,Wanowarie S.O,411040,18.494770000000006,73.90127,4,Essential Fat,6,4,3 days of week,Both,Yes,2,3,Improve athletic skills,Both,175,24
17,Luv Meena,Male,2001-01-01,Armament S.O,411021,18.56068,73.7626,5,Essential Fat,6,4,3 days of week,Indoor,Yes,1,2,Improve endurance/conditioning,Meditation,161,20
18,Akanksh Charan,Male,2001-11-25,Mohamadwadi S.O,411060,18.47335,73.90957,1,Acceptable,23,5,Only Weekends,Both,No,4,5,Build muscle,Meditation,173,19
19,Hiya Patel,Female,2002-12-05,Bhosari I.E. S.O,411026,18.55284,73.95387,4,Obese,40,1,Daily,Outdoor,No,1,3,Improve endurance/conditioning,None,165,18
20,Pavati Sara,Female,1998-05-12,Pimpri Colony S.O,411017,18.60755,73.78615,2,Athletes,21,3,Alternate Days,Outdoor,Maybe,3,3,Lose fat,Both,161,23
21,Nimit Muthu,Male,1985-04-26,Armament S.O,411021,18.56068,73.7626,5,Fitness,14,4,Daily,Both,No,1,2,All,None,167,36
22,Ved Kumar,Male,1993-02-01,Khadki Arsenel S.O,411003,18.56312,73.84433,4,Essential Fat,6,1,3 days of week,Outdoor,Maybe,2,5,Improve athletic skills,Yoga,163,28
23,Rishaan Rai,Male,1986-02-11,Vadgaon Budruk S.O,411041,18.45823,73.81821,1,Fitness,14,4,3 days of week,Indoor,Maybe,1,3,Build muscle,Yoga,173,35
24,Akanksh Lalit,Male,1989-08-20,L.K. Path S.O,411003,18.54263,73.78494,1,Fitness,14,3,Monday To Friday,Both,Maybe,4,2,All,Meditation,170,31
25,Anaisha Prasad,Female,1992-02-16,Parvati S.O,411009,18.49631,73.85621,3,Acceptable,32,4,Only Weekends,Indoor,Maybe,5,5,Improve athletic skills,Both,173,29
26,Rushil Rana,Male,1994-03-16,Khadki S.O,411003,18.56312,73.84433,3,Obese,95,5,Monday To Friday,Both,Maybe,1,4,Improve athletic skills,Yoga,171,27
27,Ved Suri,Male,1991-09-07,S.S.C.Exam Board S.O,411005,18.53245,73.84654,2,Essential Fat,6,5,Monday To Friday,Outdoor,Yes,1,1,Improve endurance/conditioning,None,175,29
28,Avni Sara,Female,1983-07-19,Kasba Peth S.O,411011,18.5242,73.8578,4,Fitness,22,4,Monday To Friday,Both,No,3,2,Build muscle,Yoga,165,37
29,Asmee Subramani,Female,1982-01-12,S.P. College S.O,411030,18.5282,73.84735,4,Essential Fat,14,1,Only Weekends,Both,Yes,4,1,Build muscle,Yoga,160,39
30,Krisha Soni,Female,1989-12-28,Sasanenagar S.O,411028,18.4747,73.93157,3,Athletes,21,1,Only Weekends,Indoor,Maybe,5,4,All,None,171,31
