,Name,Gender,DOB,Name Of Area,Pincode,Latitude ,Longitude
0,Amoli Veer,Female,1982-03-31,Nana Peth S.O,411002,18.510089999999998,73.85672
1,Kaia Subramanian,Female,1994-06-09,Mundhva AV S.O,411036,18.53135,73.91478000000001
2,Rushil Vish,Male,1999-02-07,Yerwada S.O,411006,18.56318,73.87742
3,Atiksh Manohar,Male,1987-07-01,Dapodi S.O,411012,18.57749,73.83138000000001
4,Ved Kapoor,Male,1988-01-28,Hadapsar S.O,411028,18.50453,73.91255
5,Vihaan Chauhan,Male,1998-08-28,Rashtra Bhasha Bhavan S.O,411030,18.509420000000002,73.84063
6,Tanvi Sandeep,Female,2000-11-13,Pune New Bazar S.O,411001,18.53446,73.88304000000001
7,Taara Chauhan,Female,1999-05-31,Salisbury Park S.O,411037,18.48591,73.86715
8,Anaisha Veena,Female,1988-12-31,Srpf S.O,411022,18.501929999999998,73.91264
9,Rebecca Chander,Female,1995-08-12,Ammunition Factory Khadki S.O,411003,18.57295,73.86363
10,Nirav Verma,Male,1993-10-29,Pune Cantt East S.O,411001,18.5364,73.89394
11,Gian Mati,Male,2003-10-11,T.V. Nagar S.O,411037,18.46135,73.86633
12,Raunak Chaudhary,Male,1997-08-30,Pune R.S. S.O,411001,18.5114,73.87722
13,Ishita Sen,Female,1995-05-27,Swargate Chowk S.O,411042,18.506970000000003,73.87119
14,Vihaan Mehra,Male,1990-02-13,Airport S.O (Pune),411032,18.57956,73.88954
15,Rishaan Krishnamurthy,Male,1997-03-28,Shivaji Housing Society S.O,411016,18.52501,73.82303
16,Jash Darsha,Male,1996-09-15,Wanowarie S.O,411040,18.494770000000003,73.90127
17,Luv Meena,Male,2001-01-01,Armament S.O,411021,18.560679999999998,73.7626
18,Akanksh Charan,Male,2001-11-25,Mohamadwadi S.O,411060,18.47335,73.90957
19,Hiya Patel,Female,2002-12-05,Bhosari I.E. S.O,411026,18.55284,73.95387
20,Pavati Sara,Female,1998-05-12,Pimpri Colony S.O,411017,18.60755,73.78615
21,Nimit Muthu,Male,1985-04-26,Armament S.O,411021,18.560679999999998,73.7626
22,Ved Kumar,Male,1993-02-01,Khadki Arsenel S.O,411003,18.56312,73.84433
23,Rishaan Rai,Male,1986-02-11,Vadgaon Budruk S.O,411041,18.45823,73.81821
24,Akanksh Lalit,Male,1989-08-20,L.K. Path S.O,411003,18.54263,73.78494
25,Anaisha Prasad,Female,1992-02-16,Parvati S.O,411009,18.49631,73.85621
26,Rushil Rana,Male,1994-03-16,Khadki S.O,411003,18.56312,73.84433
27,Ved Suri,Male,1991-09-07,S.S.C.Exam Board S.O,411005,18.53245,73.84654
28,Avni Sara,Female,1983-07-19,Kasba Peth S.O,411011,18.5242,73.8578
