,Name,Gender,DOB
0,Amoli Veer,Female,1982-03-31
1,Kaia Subramanian,Female,1994-06-09
2,Rushil Vish,Male,1999-02-07
3,Atiksh Manohar,Male,1987-07-01
4,Ved Kapoor,Male,1988-01-28
5,Vihaan Chauhan,Male,1998-08-28
6,Tanvi Sandeep,Female,2000-11-13
7,Taara Chauhan,Female,1999-05-31
8,Anaisha Veena,Female,1988-12-31
9,Rebecca Chander,Female,1995-08-12
10,Nirav Verma,Male,1993-10-29
11,Gian Mati,Male,2003-10-11
12,Raunak Chaudhary,Male,1997-08-30
13,Ishita Sen,Female,1995-05-27
14,Vihaan Mehra,Male,1990-02-13
15,Rishaan Krishnamurthy,Male,1997-03-28
16,Jash Darsha,Male,1996-09-15
17,Luv Meena,Male,2001-01-01
18,Akanksh Charan,Male,2001-11-25
19,Hiya Patel,Female,2002-12-05
20,Pavati Sara,Female,1998-05-12
21,Nimit Muthu,Male,1985-04-26
22,Ved Kumar,Male,1993-02-01
23,Rishaan Rai,Male,1986-02-11
24,Akanksh Lalit,Male,1989-08-20
25,Anaisha Prasad,Female,1992-02-16
26,Rushil Rana,Male,1994-03-16
27,Ved Suri,Male,1991-09-07
28,Avni Sara,Female,1983-07-19
29,Asmee Subramani,Female,1982-01-12
30,Krisha Soni,Female,1989-12-28
31,Ved Uddin,Male,1992-03-10
32,Vihaan Neel,Male,1981-06-18
33,Ved Kishore,Male,1999-12-22
34,Anant Nara,Male,1993-01-06
35,Adhira Chauhan,Female,1982-02-17
36,Manan Raji,Male,1984-07-23
37,Hiya Suri,Female,1981-08-10
38,Mohammad Veer,Male,1983-11-25
39,Ishita Patel,Female,1986-07-22
40,Zuber Chauhan,Male,1989-07-12
41,Sai Joshi,Female,1992-05-12
42,Ishank Vijaya,Male,1996-03-26
43,Krisha Muthu,Female,2003-01-11
44,Naksh Kapoor,Male,1998-05-20
45,Rishaan Patel,Male,1984-06-14
46,Ananya Srini,Female,1999-06-10
47,Sai Rajagopal,Female,1982-12-22
48,Shanaya Punj,Female,1986-11-15
49,Pavati Chande,Female,1982-02-19
50,Mehar Madan,Female,1993-07-18
51,Mishka Malik,Female,1998-10-09
52,Reyansh Nath,Male,2003-02-22
53,Shrishti Meena,Female,1998-04-19
54,Vivaan Ganesh,Male,1981-03-04
55,Kahaan Sahni,Male,1982-01-02
56,Manan Manju,Male,2001-04-23
57,Krisha Rai,Female,1986-07-05
58,Rohan Madan,Male,1981-01-22
59,Bhuv Srivastav,Male,1992-01-22
60,Raunak Rai,Male,1991-12-03
61,Carina Sharma,Female,1983-12-09
62,Kaia Mahajan,Female,1997-12-23
63,Ryka Subram,Female,1989-10-11
64,Sneha Chaudhary,Female,1981-10-10
65,Alisha Krishnamurthy,Female,2003-09-14
66,Sadhil Lata,Male,1989-11-04
